,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Traj_type
0,-0.454635004,-1.341624611,-1.120234264,-1.146640142,-2.355986865,-2.626415659,-4.246386746,-4.623800629,-4.500099551,-4.114279438,-3.658017754,-4.091482895,-4.394634111,-4.253776014,-4.820461795,-5.286295996,-4.097280224,-2.775320273,0.042203346,4.767757269,8.231322376,10.57331384,12.27874333,10.59828792,6.048651931,-2.427265888,-4.692745718,-1.656604993,-1.220154148,-1.211468661,-1.340396149,Retracing
1,7.613024692,6.819797903,6.937801976,7.07883522,7.252439609,6.224945384,5.355743877,5.798300711,5.922001789,4.551763569,6.013413438,5.836536599,6.441445086,6.785056864,5.916576449,5.795840491,5.706919272,6.871432279,9.367934378,9.479715936,8.860069144,6.38120764,4.73883149,3.839710964,2.007873523,0.710825282,1.84014554,0.158424744,0.808852395,-0.462800789,0.626367157,Congressing
2,0.585800595,1.433360686,2.161484021,3.997250848,3.643191163,3.667125417,4.448774774,4.700661389,5.337879569,5.682974992,5.6076728,6.428534204,6.329444521,6.924814298,6.389394215,5.952192424,5.951335409,3.719025211,3.436197293,2.008264844,1.217888432,0.573016002,-0.537127756,-0.926823014,-1.238231233,-0.873737662,-1.566079832,-0.380524132,0.353687289,0.001760774,-0.518535693,Congressing
3,1.377160729,0.920824042,1.881633558,2.242113063,2.091108132,2.602212526,1.235817318,0.361625585,-0.241162409,0.665845882,-0.336897369,-0.171829722,-0.845978929,-0.05651927,-0.42097958,-0.852687991,-1.47743492,-1.131906978,1.669853725,3.046922144,3.86446431,4.64087043,-0.446690488,-0.667815255,-0.621888613,-0.079306619,0.637833873,1.407791261,1.350714918,1.968252522,1.167352786,Quasi-static
4,-0.172286495,-1.243686253,-1.721321772,-1.02190639,-1.195510779,-2.691355816,-3.572847186,-4.133812156,-4.257513234,-3.106930873,-3.893298422,-3.675750854,-3.848327095,-3.299174161,-3.662306132,-3.676183265,-1.945978384,2.227167054,7.84351184,8.496881627,4.949413519,4.30376177,2.225750563,1.811446851,0.3040355,-0.660763302,-1.096051146,-1.638531239,-1.118398071,-2.023355242,-1.109698129,Retracing
5,3.782972719,3.510180178,2.125178046,2.769838332,2.657139074,2.384911306,2.267815879,2.440314409,2.4155119,2.353660725,1.553837093,1.731993593,1.241931488,1.801428164,1.004243203,1.419225757,2.519956834,1.82833175,0.401727429,1.801326079,1.848847208,0.648226443,-1.904353464,0.75087069,0.056805841,-1.042078447,-0.154178804,-0.471139487,-0.569318732,-0.532298872,-0.788345002,Quasi-static
6,1.133262515,1.598856215,3.003636549,3.657690128,2.545729906,3.35556864,2.669427505,1.286613387,1.162912309,1.805559764,0.691663593,1.17749426,0.687432155,2.074520982,1.508945723,1.011478348,2.759851236,5.139179592,5.396126803,5.44698451,5.464470824,4.318340956,4.377264077,2.129278745,1.248128183,0.997348856,2.702152322,2.029656253,3.327703422,3.473785213,2.799530583,Quasi-static
7,-5.979939355,-6.831950448,-6.256091384,-6.043903122,-5.783895597,-5.557070295,-6.205685416,-5.666981156,-5.156165595,-5.032668415,-5.208987835,-4.658100791,-4.309396147,-3.571839012,-3.485015057,-2.30135932,1.443625169,8.19245534,5.194352608,2.488179093,1.878945812,0.627993308,0.443056962,0.047775892,0.256081745,-0.286500249,-1.934315914,-0.252595119,-0.022798489,0.519356071,0.286164138,Retracing
8,6.648291834,6.316308264,7.730325592,8.820536826,7.950957671,8.302916417,6.780713561,7.041206149,7.164907227,6.591475143,6.623061613,6.07217457,7.05549974,7.533706763,7.177524108,5.94477951,6.486235271,6.346429488,5.979705019,7.553598243,2.65755312,0.273223619,0.880333205,1.427023533,1.34826504,3.814251228,3.443539549,2.281809043,1.335400385,2.198130406,1.990697209,Congressing
9,7.548774604,7.599940484,7.874589298,8.188227232,8.014622842,7.99895002,7.424546201,6.748448698,6.769020252,6.79965892,6.952640702,6.324570097,6.540093432,6.816875144,6.13151151,6.021751231,6.416435635,4.141320201,8.782927005,10.59544651,12.68540271,11.49276478,4.560605165,4.165324095,2.360524174,1.138996629,1.627770059,2.266619353,2.507863719,1.163549466,0.930357533,Retracing
10,7.382222299,6.790728802,5.055857426,5.56505812,5.39145373,5.419560793,4.463936147,4.61581849,3.994074502,3.704534929,3.751020115,4.069727157,4.273217918,4.373892153,4.377170286,5.86670791,6.993866538,8.02802257,5.118942965,0.077332084,-1.238116767,-2.274529655,-2.121215741,-1.090605033,-2.318082814,-2.447851701,-2.210151521,-3.147833005,-2.039891785,-1.539005533,-1.483230967,Congressing
11,-1.13799891,-1.160049938,-2.247474478,-2.273880356,-2.305101487,-2.250939583,-0.623630325,0.11938884,-0.072716041,0.629631918,0.240478881,0.855032921,1.345095026,0.290498159,-0.175341314,1.23636148,0.559398282,0.059833005,-1.403024583,-1.254369203,-0.448314197,-1.258986647,-1.847884321,-0.95726366,0.675423497,0.178305968,0.644946974,0.111456017,-1.345923518,-1.849034605,-1.65449932,Quasi-static
12,7.320156438,6.53586165,4.928853379,4.826096021,4.652491632,5.103657793,5.046831258,5.381005496,5.257304419,5.665773779,5.960299069,4.861863193,5.475331679,4.313594601,2.174973219,0.372370982,-2.28856666,-3.709839791,-4.510198576,-4.768625346,-5.830114912,-3.964954642,5.280554218,7.356482963,9.416275197,11.45635015,9.984871526,7.498323415,3.087370353,0.935610389,1.909896098,Retracing
13,1.143160149,0.967783041,1.034212325,1.453428574,0.988678782,1.042840686,0.140045289,-0.629806378,0.003718964,-0.4456467,-1.16380978,-1.848132118,-1.539344839,-0.549825793,-0.21979349,-0.371823176,1.641257423,0.621443357,-0.765364253,-2.421203083,-2.058431601,0.38500471,0.850973674,0.654966951,0.97073712,1.513319114,0.909373999,0.412515705,-0.953205326,-0.535030304,-1.042611473,Quasi-static
14,-2.990659293,-2.17205787,-1.762620566,-2.367049606,-2.193445216,-2.272448238,-2.735038444,-2.899598821,-2.105007481,-2.311596331,-1.810468942,-0.306090162,0.544348489,1.663849854,2.857926867,4.797251077,6.508498115,8.805763613,9.966561579,11.53261144,9.73549362,8.342801951,10.76901072,7.841617255,4.752319854,2.455002434,1.52125448,1.536106741,1.871308654,2.879944633,2.543721506,Retracing
15,8.228150394,8.900490675,7.22421139,7.93178718,7.720679825,7.774841729,7.914490436,7.789607064,7.779880688,8.016331256,7.626537627,6.819991211,7.014496459,6.119956279,5.264843985,5.147436697,4.551314191,3.992948339,2.921025736,0.881213044,4.09358759,0.905113087,0.82071559,1.653656186,1.980999299,2.523581293,3.186330283,1.568593706,1.327349339,0.696553155,1.161972813,Congressing
16,6.421945603,7.250405811,8.415230578,8.441636456,7.954498514,7.90033661,6.134285023,6.382191528,6.883572764,6.846425733,7.459561485,7.204651079,7.768757604,7.629582795,7.651196682,6.834953879,5.394619907,3.134107457,4.035002202,5.056559135,5.07404545,3.753119598,3.55163136,0.287331438,-0.927056681,-0.019682752,0.667366747,1.093770459,0.418794691,1.978967158,1.745775225,Congressing
17,1.572621383,3.72526505,4.215248366,4.241654245,3.579729939,2.664098561,3.723672212,4.105959214,4.456168375,3.868892921,4.830519396,5.031863238,4.975351747,4.818331975,5.654014414,5.592095839,4.281129941,1.781266646,3.658425272,9.068457894,11.20673865,12.98837204,12.01558722,10.33591181,7.286236733,0.207560016,-0.865621494,0.549233908,0.162907221,0.116625162,-0.04771921,Retracing
18,0.888418707,0.59323828,0.289654472,0.263248594,-0.092406434,-1.200108707,-1.903203393,-1.693997863,-2.303528966,-1.322494136,-2.284120611,-2.440923175,-2.622740315,-2.844543411,-2.756851561,-3.740177493,-3.523938085,-0.848574127,0.55870645,1.196819462,0.194772644,-1.316250978,-0.609811132,0.572462199,-0.05729681,-0.222403401,1.231297048,1.633017523,0.892357416,0.568774197,-0.710941917,Quasi-static
19,7.109015816,7.657531017,5.51218646,4.624760822,5.11614408,5.313687639,5.584655277,5.195971861,4.539011905,4.960901327,5.239405293,4.914499539,3.476761653,3.343994911,2.141895962,2.51816434,3.268635483,5.100936906,4.147018857,1.471211492,-0.308772951,2.393780942,1.531786049,1.757994373,1.81609427,1.750807447,1.565945582,0.854918923,1.333844924,-0.161847516,2.019603351,Congressing
20,1.991741873,2.40367077,2.202370077,4.288357862,5.167481305,5.618538085,6.243125227,6.515332539,5.355690792,4.663363637,4.676292353,4.421830779,2.910487369,2.952107127,3.875744425,3.898283678,2.374724629,3.770522407,2.988044649,3.814588247,5.869244577,4.996467031,3.54517537,3.666980064,4.497047633,4.362126637,4.230487324,4.659431763,4.895460031,5.468466419,5.635685869,Quasi-static
21,-5.172804864,-5.670129972,-4.982538687,-4.422802963,-5.077346869,-3.890499889,-2.172082949,-2.221517291,-0.561799862,-0.239454328,-0.004067793,0.646695649,2.107959607,2.498569685,2.84386525,2.821325997,3.210258153,2.220398197,1.427857448,1.06154012,1.512801482,2.322307202,3.011625941,3.525590158,3.877324519,4.012245515,5.601011633,3.500953484,4.126338993,4.242711212,3.623036168,Quasi-static
22,8.831737841,8.436247068,8.003371557,8.642836785,10.0801207,10.4342221,10.41032136,9.704442887,9.34796428,8.880570667,9.903640496,10.54777867,9.474105207,7.785505926,8.058353799,8.080893052,9.694829961,9.170037703,9.494999678,10.52009601,13.52599662,13.76657133,14.94991523,14.43595101,12.63259994,11.70994003,10.9291773,9.382339508,8.587654553,3.194626903,-0.148808937,Retracing
23,4.850970129,4.126103643,5.911928107,5.473575081,5.484378036,5.418587151,5.716762818,5.801940307,6.314235311,6.299963378,6.255780495,5.046666675,4.060286749,2.670068884,2.942916757,3.439067779,2.344925363,4.452292373,4.164728129,2.37910292,-0.491334361,-1.811046819,-3.566393138,-2.134394388,0.027114455,1.490624528,1.399314491,-0.401466865,0.417111957,1.21555406,-0.799524998,Congressing
24,1.373108476,0.977617702,2.097687899,1.66307481,-0.09254379,-1.192665053,-1.246322474,-1.161144985,-1.263079206,-1.19936982,-1.673949232,-1.383432613,-2.399154366,-2.116653331,-1.607511747,1.339790187,1.773016984,1.043552322,0.71658818,1.084658975,2.877057555,0.457015481,-0.029060554,2.697470289,1.517944536,1.397258411,0.100503538,-0.654108108,0.128456691,-0.047048335,-0.558900096,Quasi-static
25,-4.133577151,-4.688138702,-5.087181751,-5.501861404,-5.539225761,-5.412823334,-2.890658446,-2.223096988,0.053755686,0.037135991,1.123793431,2.138449548,2.812782756,3.099353553,3.372201425,3.167550661,4.673788289,5.663349616,9.187915921,9.813266396,7.717573278,6.67605784,5.981902373,5.467938156,3.664587083,3.529666087,3.438356049,2.744209663,3.461960667,4.333924682,5.121386222,Retracing
26,-3.830514469,-2.596928534,-0.920398399,-0.30441809,0.858904941,1.402908728,4.127968451,4.513337293,5.901645729,4.845725843,5.132043729,2.931204034,0.692935765,0.038205012,-0.234642861,-2.241320967,-2.119409,-0.11633879,-0.264000363,-3.808475534,-2.957908546,-1.086876734,2.449380395,2.668257705,2.190333222,1.096043532,1.545751346,3.935718737,2.803596833,2.757172493,1.691117563,Quasi-static
27,3.380380113,2.758042716,2.231964451,3.630633355,4.509756798,4.740817706,5.790717436,6.210937298,6.109003077,5.44537385,5.781984158,5.338246186,6.446739533,7.614968499,8.078021711,8.918003219,10.13044839,9.954531894,7.515235884,7.118666697,6.714015784,4.972766341,3.576556955,2.475498952,0.622931572,-1.200615706,-1.060587957,-2.147548741,-3.220117431,-2.089968583,-2.436066004,Congressing
28,0.112824707,-0.350459505,-0.783335015,-0.036494936,0.58895128,2.964007564,3.54281863,3.975322148,4.553038853,4.695535272,6.139833554,7.920198281,8.921612215,9.17879106,8.381874084,5.653807236,6.866252402,6.721254724,7.078508922,6.779339131,7.471879299,7.712454002,8.01470176,7.87504548,7.855141399,2.594154188,1.149279489,1.100235597,-2.759640356,-2.01769745,-1.843080248,Retracing
29,5.315961674,4.428844473,3.745763186,2.413002625,-0.142752984,-0.854182597,-1.115851119,-1.619276381,-3.35279414,-4.016635384,-3.993334878,-3.495494612,-1.512838915,-0.952725321,-0.819209514,-0.756129834,1.607063444,1.752061123,2.53377789,1.186062954,1.042187703,-1.197938398,0.489366207,0.886893167,0.948105681,0.823111738,2.076860227,1.192320868,1.416539527,0.601708372,1.892994194,Quasi-static
30,-0.764529803,-0.634432285,0.977203066,3.306506385,4.185629829,5.250506212,6.209578171,6.035143324,6.054398841,5.769759121,6.106369429,6.539360373,5.806540432,4.222300153,3.935360009,2.313077094,2.565578111,2.581240796,2.02105149,4.05437963,5.034629801,5.275204503,3.82274698,2.019493967,0.216142894,0.88603602,0.794725982,1.904569706,3.883266859,2.873539056,3.038739321,Quasi-static
31,1.920646717,1.510407176,2.080439906,3.908091759,4.054811937,4.176643127,4.214723652,3.782306416,4.373306617,2.972301468,2.820540052,2.980583686,1.683755011,-0.745924351,0.705062654,4.692837461,7.329874445,9.879755687,10.94232382,10.34141212,6.424238145,2.096517106,-4.680627334,-4.166663118,-4.236577862,-2.934289503,-2.358409487,-1.944415997,-1.797019637,-1.232299616,-0.946998616,Retracing
32,6.225022727,4.674205783,4.971912468,3.73199923,3.519820304,4.064826611,5.98990682,4.957594109,3.984915443,2.520134222,0.962240617,-0.822388972,-2.53107522,-3.321976734,-1.812906674,-3.082971821,-3.359066189,-1.233457254,-1.320839124,0.021953629,0.080572629,-0.628386531,0.065768936,1.645556084,0.219151351,0.198987412,0.688411289,-1.229342516,-0.172166554,-0.678088207,-0.372625329,Congressing
33,-3.104676035,-2.471628078,-2.038752568,1.541610965,4.572594785,4.561463212,3.208861525,3.614857005,3.341544017,4.511585858,4.514253612,4.406008991,4.293676304,3.030613535,2.449847924,1.911767428,5.924195887,4.736017958,8.208928177,12.54877505,12.47315123,12.66545276,12.19648455,10.93958452,8.674481023,9.473881633,5.935622816,4.774194989,4.637997281,3.810039688,-1.045566357,Retracing
34,8.311831951,7.868242312,7.000182322,6.618596226,5.739472782,5.724719441,7.207381476,7.122203987,7.224138208,8.301467007,9.012752746,8.388589721,8.789095123,8.776971788,8.266062321,8.265823339,9.890798307,10.01438458,9.20377355,6.864119597,6.028268118,2.964816041,-1.194383784,-0.13399485,0.050695828,-0.159166016,1.575500476,-0.934092291,-0.448761965,-0.973434287,-1.348414858,Congressing
35,-8.267402218,-6.39221682,-3.959208252,-3.402655403,-1.631494767,-1.547081512,-0.849234695,-0.934412184,-2.404358886,-2.712431635,-0.455216768,0.047258957,0.746852505,0.460281708,0.340816059,0.478084131,-0.156523948,1.876452743,2.650226735,3.304258961,4.702012984,3.167898497,3.147631826,2.439869056,4.243220129,4.010632185,2.027105748,3.80863395,3.619324402,7.018998936,8.091267717,Retracing
36,6.352851873,4.462297488,2.910994762,2.650316788,2.855630198,2.813085951,3.119350209,4.513352115,5.861395001,6.395610172,6.402490795,7.750581762,7.883537766,8.330129205,7.416444413,6.214116621,6.339394432,6.484392111,5.155665002,6.701785907,5.452253297,5.019003995,3.698997861,3.442405403,3.804594268,2.475940985,0.809672558,1.65421471,1.278944216,-0.381798284,-2.172442356,Congressing
